Epoch,Loss,Accuracy
1,0.5271888348189268,74.53416149068323
2,0.18967443230477246,97.20496894409938
3,0.12198054858229378,98.75776397515529
4,0.0930095687508583,98.75776397515529
5,0.07918184927918694,98.75776397515529
6,0.07991993393410336,98.75776397515529
7,0.06267882375554605,99.06832298136646
8,0.10949964381077072,99.06832298136646
9,0.08504697714339603,96.58385093167702
10,0.0521456165747209,99.68944099378882
11,0.05539394948970188,99.37888198757764
12,0.05263518406586214,99.37888198757764
13,0.049767273562875664,99.37888198757764
14,0.051777922971682114,99.37888198757764
15,0.04709666256200184,99.37888198757764
16,0.04491063918579708,99.37888198757764
17,0.04211094602942467,99.37888198757764
18,0.039158059961416504,99.37888198757764
19,0.03748745555904778,99.37888198757764
20,0.061284448274157265,99.37888198757764
21,0.03514810787005858,99.37888198757764
22,0.03970825011757287,99.37888198757764
23,0.04218470694666559,99.37888198757764
24,0.039692777462980965,99.37888198757764
25,0.038346416570923546,99.37888198757764
