Epoch,Loss,Accuracy
1,0.9886393763802268,51.86335403726708
2,0.80505986105312,65.527950310559
3,0.7823897437615828,72.36024844720497
4,0.6815103075721047,75.46583850931677
5,0.6094183163209395,85.09316770186335
6,0.5454050031575289,88.19875776397515
7,0.48066142201423645,86.95652173913044
8,0.40440368923273956,90.99378881987577
9,0.38771235130049964,93.7888198757764
10,0.3367009569298137,95.96273291925466
11,0.3412322835488753,96.58385093167702
12,0.2873960462483493,96.8944099378882
13,0.26940984482114966,97.20496894409938
14,0.2288193472407081,98.13664596273291
15,0.2049984410405159,98.4472049689441
16,0.1815037022937428,98.4472049689441
17,0.1699713576923717,98.75776397515529
18,0.16948758201165634,98.75776397515529
19,0.14774382656270807,98.4472049689441
20,0.12849951467730783,98.75776397515529
21,0.1232078190554272,98.75776397515529
22,0.1308545537970283,98.75776397515529
23,0.11748028614304283,98.75776397515529
24,0.10322865098714828,98.75776397515529
25,0.10039436749436638,99.06832298136646
